# query|compound|entity
25I-NBOMe Cannabis use disorder randomized placebo|25I-NBOMe|Cannabis use disorder
25I-NBOMe Cannabis use disorder treatment outcome|25I-NBOMe|Cannabis use disorder
25I-NBOMe Cocaine use disorder clinical trial|25I-NBOMe|Cocaine use disorder
25I-NBOMe Cocaine use disorder randomized placebo|25I-NBOMe|Cocaine use disorder
25I-NBOMe Cocaine use disorder treatment outcome|25I-NBOMe|Cocaine use disorder
25I-NBOMe Methamphetamine use disorder clinical trial|25I-NBOMe|Methamphetamine use disorder
25I-NBOMe Methamphetamine use disorder randomized placebo|25I-NBOMe|Methamphetamine use disorder
25I-NBOMe Methamphetamine use disorder treatment outcome|25I-NBOMe|Methamphetamine use disorder
25I-NBOMe Stimulant use disorder clinical trial|25I-NBOMe|Stimulant use disorder
25I-NBOMe Stimulant use disorder randomized placebo|25I-NBOMe|Stimulant use disorder
25I-NBOMe Stimulant use disorder treatment outcome|25I-NBOMe|Stimulant use disorder
25I-NBOMe Substance use disorder clinical trial|25I-NBOMe|Substance use disorder
25I-NBOMe Substance use disorder randomized placebo|25I-NBOMe|Substance use disorder
25I-NBOMe Substance use disorder treatment outcome|25I-NBOMe|Substance use disorder
25I-NBOMe Generalized anxiety disorder clinical trial|25I-NBOMe|Generalized anxiety disorder
25I-NBOMe Generalized anxiety disorder randomized placebo|25I-NBOMe|Generalized anxiety disorder
25I-NBOMe Generalized anxiety disorder treatment outcome|25I-NBOMe|Generalized anxiety disorder
25I-NBOMe Social anxiety disorder clinical trial|25I-NBOMe|Social anxiety disorder
25I-NBOMe Social anxiety disorder randomized placebo|25I-NBOMe|Social anxiety disorder
25I-NBOMe Social anxiety disorder treatment outcome|25I-NBOMe|Social anxiety disorder
25I-NBOMe Distress associated with life-threatening disease clinical trial|25I-NBOMe|Distress associated with life-threatening disease
25I-NBOMe Distress associated with life-threatening disease randomized placebo|25I-NBOMe|Distress associated with life-threatening disease
25I-NBOMe Distress associated with life-threatening disease treatment outcome|25I-NBOMe|Distress associated with life-threatening disease
25I-NBOMe Obsessive-compulsive disorder clinical trial|25I-NBOMe|Obsessive-compulsive disorder
25I-NBOMe Obsessive-compulsive disorder randomized placebo|25I-NBOMe|Obsessive-compulsive disorder
25I-NBOMe Obsessive-compulsive disorder treatment outcome|25I-NBOMe|Obsessive-compulsive disorder
25I-NBOMe Eating disorders clinical trial|25I-NBOMe|Eating disorders
25I-NBOMe Eating disorders randomized placebo|25I-NBOMe|Eating disorders
25I-NBOMe Eating disorders treatment outcome|25I-NBOMe|Eating disorders
25I-NBOMe Anorexia nervosa clinical trial|25I-NBOMe|Anorexia nervosa
25I-NBOMe Anorexia nervosa randomized placebo|25I-NBOMe|Anorexia nervosa
25I-NBOMe Anorexia nervosa treatment outcome|25I-NBOMe|Anorexia nervosa
25I-NBOMe Bulimia nervosa clinical trial|25I-NBOMe|Bulimia nervosa
25I-NBOMe Bulimia nervosa randomized placebo|25I-NBOMe|Bulimia nervosa
25I-NBOMe Bulimia nervosa treatment outcome|25I-NBOMe|Bulimia nervosa
25I-NBOMe Binge-eating disorder clinical trial|25I-NBOMe|Binge-eating disorder
25I-NBOMe Binge-eating disorder randomized placebo|25I-NBOMe|Binge-eating disorder
25I-NBOMe Binge-eating disorder treatment outcome|25I-NBOMe|Binge-eating disorder
25I-NBOMe Autism spectrum disorder clinical trial|25I-NBOMe|Autism spectrum disorder
25I-NBOMe Autism spectrum disorder randomized placebo|25I-NBOMe|Autism spectrum disorder
25I-NBOMe Autism spectrum disorder treatment outcome|25I-NBOMe|Autism spectrum disorder
25I-NBOMe Demoralization clinical trial|25I-NBOMe|Demoralization
25I-NBOMe Demoralization randomized placebo|25I-NBOMe|Demoralization
25I-NBOMe Demoralization treatment outcome|25I-NBOMe|Demoralization
25I-NBOMe Suicidal ideation clinical trial|25I-NBOMe|Suicidal ideation
25I-NBOMe Suicidal ideation randomized placebo|25I-NBOMe|Suicidal ideation
25I-NBOMe Suicidal ideation treatment outcome|25I-NBOMe|Suicidal ideation
25I-NBOMe Cluster headache clinical trial|25I-NBOMe|Cluster headache
25I-NBOMe Cluster headache randomized placebo|25I-NBOMe|Cluster headache
25I-NBOMe Cluster headache treatment outcome|25I-NBOMe|Cluster headache
25I-NBOMe Headache disorders clinical trial|25I-NBOMe|Headache disorders
25I-NBOMe Headache disorders randomized placebo|25I-NBOMe|Headache disorders
25I-NBOMe Headache disorders treatment outcome|25I-NBOMe|Headache disorders
25I-NBOMe Migraine clinical trial|25I-NBOMe|Migraine
25I-NBOMe Migraine randomized placebo|25I-NBOMe|Migraine
25I-NBOMe Migraine treatment outcome|25I-NBOMe|Migraine
25I-NBOMe Chronic pain clinical trial|25I-NBOMe|Chronic pain
25I-NBOMe Chronic pain randomized placebo|25I-NBOMe|Chronic pain
25I-NBOMe Chronic pain treatment outcome|25I-NBOMe|Chronic pain
25I-NBOMe Fibromyalgia clinical trial|25I-NBOMe|Fibromyalgia
25I-NBOMe Fibromyalgia randomized placebo|25I-NBOMe|Fibromyalgia
25I-NBOMe Fibromyalgia treatment outcome|25I-NBOMe|Fibromyalgia
25B-NBOMe Treatment-resistant depression clinical trial|25B-NBOMe|Treatment-resistant depression
25B-NBOMe Treatment-resistant depression randomized placebo|25B-NBOMe|Treatment-resistant depression
25B-NBOMe Treatment-resistant depression treatment outcome|25B-NBOMe|Treatment-resistant depression
25B-NBOMe Major depressive disorder clinical trial|25B-NBOMe|Major depressive disorder
25B-NBOMe Major depressive disorder randomized placebo|25B-NBOMe|Major depressive disorder
25B-NBOMe Major depressive disorder treatment outcome|25B-NBOMe|Major depressive disorder
25B-NBOMe Bipolar depression clinical trial|25B-NBOMe|Bipolar depression
25B-NBOMe Bipolar depression randomized placebo|25B-NBOMe|Bipolar depression
25B-NBOMe Bipolar depression treatment outcome|25B-NBOMe|Bipolar depression
25B-NBOMe Persistent depressive disorder clinical trial|25B-NBOMe|Persistent depressive disorder
25B-NBOMe Persistent depressive disorder randomized placebo|25B-NBOMe|Persistent depressive disorder
25B-NBOMe Persistent depressive disorder treatment outcome|25B-NBOMe|Persistent depressive disorder
25B-NBOMe Post-traumatic stress disorder clinical trial|25B-NBOMe|Post-traumatic stress disorder
25B-NBOMe Post-traumatic stress disorder randomized placebo|25B-NBOMe|Post-traumatic stress disorder
25B-NBOMe Post-traumatic stress disorder treatment outcome|25B-NBOMe|Post-traumatic stress disorder
25B-NBOMe Complex post-traumatic stress disorder clinical trial|25B-NBOMe|Complex post-traumatic stress disorder
25B-NBOMe Complex post-traumatic stress disorder randomized placebo|25B-NBOMe|Complex post-traumatic stress disorder
25B-NBOMe Complex post-traumatic stress disorder treatment outcome|25B-NBOMe|Complex post-traumatic stress disorder
25B-NBOMe Alcohol use disorder clinical trial|25B-NBOMe|Alcohol use disorder
25B-NBOMe Alcohol use disorder randomized placebo|25B-NBOMe|Alcohol use disorder
25B-NBOMe Alcohol use disorder treatment outcome|25B-NBOMe|Alcohol use disorder
25B-NBOMe Tobacco use disorder clinical trial|25B-NBOMe|Tobacco use disorder
25B-NBOMe Tobacco use disorder randomized placebo|25B-NBOMe|Tobacco use disorder
25B-NBOMe Tobacco use disorder treatment outcome|25B-NBOMe|Tobacco use disorder
25B-NBOMe Nicotine dependence clinical trial|25B-NBOMe|Nicotine dependence
25B-NBOMe Nicotine dependence randomized placebo|25B-NBOMe|Nicotine dependence
25B-NBOMe Nicotine dependence treatment outcome|25B-NBOMe|Nicotine dependence
25B-NBOMe Opioid use disorder clinical trial|25B-NBOMe|Opioid use disorder
25B-NBOMe Opioid use disorder randomized placebo|25B-NBOMe|Opioid use disorder
25B-NBOMe Opioid use disorder treatment outcome|25B-NBOMe|Opioid use disorder
25B-NBOMe Cannabis use disorder clinical trial|25B-NBOMe|Cannabis use disorder
25B-NBOMe Cannabis use disorder randomized placebo|25B-NBOMe|Cannabis use disorder
25B-NBOMe Cannabis use disorder treatment outcome|25B-NBOMe|Cannabis use disorder
25B-NBOMe Cocaine use disorder clinical trial|25B-NBOMe|Cocaine use disorder
25B-NBOMe Cocaine use disorder randomized placebo|25B-NBOMe|Cocaine use disorder
25B-NBOMe Cocaine use disorder treatment outcome|25B-NBOMe|Cocaine use disorder
25B-NBOMe Methamphetamine use disorder clinical trial|25B-NBOMe|Methamphetamine use disorder
25B-NBOMe Methamphetamine use disorder randomized placebo|25B-NBOMe|Methamphetamine use disorder
25B-NBOMe Methamphetamine use disorder treatment outcome|25B-NBOMe|Methamphetamine use disorder
25B-NBOMe Stimulant use disorder clinical trial|25B-NBOMe|Stimulant use disorder
25B-NBOMe Stimulant use disorder randomized placebo|25B-NBOMe|Stimulant use disorder
25B-NBOMe Stimulant use disorder treatment outcome|25B-NBOMe|Stimulant use disorder
25B-NBOMe Substance use disorder clinical trial|25B-NBOMe|Substance use disorder
25B-NBOMe Substance use disorder randomized placebo|25B-NBOMe|Substance use disorder
25B-NBOMe Substance use disorder treatment outcome|25B-NBOMe|Substance use disorder
25B-NBOMe Generalized anxiety disorder clinical trial|25B-NBOMe|Generalized anxiety disorder
25B-NBOMe Generalized anxiety disorder randomized placebo|25B-NBOMe|Generalized anxiety disorder
25B-NBOMe Generalized anxiety disorder treatment outcome|25B-NBOMe|Generalized anxiety disorder
25B-NBOMe Social anxiety disorder clinical trial|25B-NBOMe|Social anxiety disorder
25B-NBOMe Social anxiety disorder randomized placebo|25B-NBOMe|Social anxiety disorder
25B-NBOMe Social anxiety disorder treatment outcome|25B-NBOMe|Social anxiety disorder
25B-NBOMe Distress associated with life-threatening disease clinical trial|25B-NBOMe|Distress associated with life-threatening disease
25B-NBOMe Distress associated with life-threatening disease randomized placebo|25B-NBOMe|Distress associated with life-threatening disease
25B-NBOMe Distress associated with life-threatening disease treatment outcome|25B-NBOMe|Distress associated with life-threatening disease
25B-NBOMe Obsessive-compulsive disorder clinical trial|25B-NBOMe|Obsessive-compulsive disorder
25B-NBOMe Obsessive-compulsive disorder randomized placebo|25B-NBOMe|Obsessive-compulsive disorder
25B-NBOMe Obsessive-compulsive disorder treatment outcome|25B-NBOMe|Obsessive-compulsive disorder
25B-NBOMe Eating disorders clinical trial|25B-NBOMe|Eating disorders
25B-NBOMe Eating disorders randomized placebo|25B-NBOMe|Eating disorders
25B-NBOMe Eating disorders treatment outcome|25B-NBOMe|Eating disorders
25B-NBOMe Anorexia nervosa clinical trial|25B-NBOMe|Anorexia nervosa
25B-NBOMe Anorexia nervosa randomized placebo|25B-NBOMe|Anorexia nervosa
25B-NBOMe Anorexia nervosa treatment outcome|25B-NBOMe|Anorexia nervosa
25B-NBOMe Bulimia nervosa clinical trial|25B-NBOMe|Bulimia nervosa
25B-NBOMe Bulimia nervosa randomized placebo|25B-NBOMe|Bulimia nervosa
25B-NBOMe Bulimia nervosa treatment outcome|25B-NBOMe|Bulimia nervosa
25B-NBOMe Binge-eating disorder clinical trial|25B-NBOMe|Binge-eating disorder
25B-NBOMe Binge-eating disorder randomized placebo|25B-NBOMe|Binge-eating disorder
25B-NBOMe Binge-eating disorder treatment outcome|25B-NBOMe|Binge-eating disorder
25B-NBOMe Autism spectrum disorder clinical trial|25B-NBOMe|Autism spectrum disorder
25B-NBOMe Autism spectrum disorder randomized placebo|25B-NBOMe|Autism spectrum disorder
25B-NBOMe Autism spectrum disorder treatment outcome|25B-NBOMe|Autism spectrum disorder
25B-NBOMe Demoralization clinical trial|25B-NBOMe|Demoralization
25B-NBOMe Demoralization randomized placebo|25B-NBOMe|Demoralization
25B-NBOMe Demoralization treatment outcome|25B-NBOMe|Demoralization
25B-NBOMe Suicidal ideation clinical trial|25B-NBOMe|Suicidal ideation
25B-NBOMe Suicidal ideation randomized placebo|25B-NBOMe|Suicidal ideation
25B-NBOMe Suicidal ideation treatment outcome|25B-NBOMe|Suicidal ideation
25B-NBOMe Cluster headache clinical trial|25B-NBOMe|Cluster headache
25B-NBOMe Cluster headache randomized placebo|25B-NBOMe|Cluster headache
25B-NBOMe Cluster headache treatment outcome|25B-NBOMe|Cluster headache
25B-NBOMe Headache disorders clinical trial|25B-NBOMe|Headache disorders
25B-NBOMe Headache disorders randomized placebo|25B-NBOMe|Headache disorders
25B-NBOMe Headache disorders treatment outcome|25B-NBOMe|Headache disorders
25B-NBOMe Migraine clinical trial|25B-NBOMe|Migraine
25B-NBOMe Migraine randomized placebo|25B-NBOMe|Migraine
25B-NBOMe Migraine treatment outcome|25B-NBOMe|Migraine
25B-NBOMe Chronic pain clinical trial|25B-NBOMe|Chronic pain
25B-NBOMe Chronic pain randomized placebo|25B-NBOMe|Chronic pain
25B-NBOMe Chronic pain treatment outcome|25B-NBOMe|Chronic pain
25B-NBOMe Fibromyalgia clinical trial|25B-NBOMe|Fibromyalgia
25B-NBOMe Fibromyalgia randomized placebo|25B-NBOMe|Fibromyalgia
25B-NBOMe Fibromyalgia treatment outcome|25B-NBOMe|Fibromyalgia
25C-NBOMe Treatment-resistant depression clinical trial|25C-NBOMe|Treatment-resistant depression
25C-NBOMe Treatment-resistant depression randomized placebo|25C-NBOMe|Treatment-resistant depression
25C-NBOMe Treatment-resistant depression treatment outcome|25C-NBOMe|Treatment-resistant depression
25C-NBOMe Major depressive disorder clinical trial|25C-NBOMe|Major depressive disorder
25C-NBOMe Major depressive disorder randomized placebo|25C-NBOMe|Major depressive disorder
25C-NBOMe Major depressive disorder treatment outcome|25C-NBOMe|Major depressive disorder
25C-NBOMe Bipolar depression clinical trial|25C-NBOMe|Bipolar depression
25C-NBOMe Bipolar depression randomized placebo|25C-NBOMe|Bipolar depression
25C-NBOMe Bipolar depression treatment outcome|25C-NBOMe|Bipolar depression
25C-NBOMe Persistent depressive disorder clinical trial|25C-NBOMe|Persistent depressive disorder
25C-NBOMe Persistent depressive disorder randomized placebo|25C-NBOMe|Persistent depressive disorder
25C-NBOMe Persistent depressive disorder treatment outcome|25C-NBOMe|Persistent depressive disorder
25C-NBOMe Post-traumatic stress disorder clinical trial|25C-NBOMe|Post-traumatic stress disorder
25C-NBOMe Post-traumatic stress disorder randomized placebo|25C-NBOMe|Post-traumatic stress disorder
25C-NBOMe Post-traumatic stress disorder treatment outcome|25C-NBOMe|Post-traumatic stress disorder
25C-NBOMe Complex post-traumatic stress disorder clinical trial|25C-NBOMe|Complex post-traumatic stress disorder
25C-NBOMe Complex post-traumatic stress disorder randomized placebo|25C-NBOMe|Complex post-traumatic stress disorder
25C-NBOMe Complex post-traumatic stress disorder treatment outcome|25C-NBOMe|Complex post-traumatic stress disorder
25C-NBOMe Alcohol use disorder clinical trial|25C-NBOMe|Alcohol use disorder
25C-NBOMe Alcohol use disorder randomized placebo|25C-NBOMe|Alcohol use disorder
25C-NBOMe Alcohol use disorder treatment outcome|25C-NBOMe|Alcohol use disorder
25C-NBOMe Tobacco use disorder clinical trial|25C-NBOMe|Tobacco use disorder
25C-NBOMe Tobacco use disorder randomized placebo|25C-NBOMe|Tobacco use disorder
25C-NBOMe Tobacco use disorder treatment outcome|25C-NBOMe|Tobacco use disorder
25C-NBOMe Nicotine dependence clinical trial|25C-NBOMe|Nicotine dependence
25C-NBOMe Nicotine dependence randomized placebo|25C-NBOMe|Nicotine dependence
25C-NBOMe Nicotine dependence treatment outcome|25C-NBOMe|Nicotine dependence
25C-NBOMe Opioid use disorder clinical trial|25C-NBOMe|Opioid use disorder
25C-NBOMe Opioid use disorder randomized placebo|25C-NBOMe|Opioid use disorder
25C-NBOMe Opioid use disorder treatment outcome|25C-NBOMe|Opioid use disorder
25C-NBOMe Cannabis use disorder clinical trial|25C-NBOMe|Cannabis use disorder
25C-NBOMe Cannabis use disorder randomized placebo|25C-NBOMe|Cannabis use disorder
25C-NBOMe Cannabis use disorder treatment outcome|25C-NBOMe|Cannabis use disorder
